child,parent,parent_type,child_prediction,can_reverse,augument_can_reverse,aug_predicted_child
Saoirse Ronan,Monica Ronan,mother,Saoirse Ronan,True,True,Saoirse Ronan
Saoirse Ronan,Paul Ronan,father,Saoirse Ronan,True,True,Saoirse Ronan
Adrien Brody,Sylvia Plachy,mother,Adrien Brody,True,True,Adrien Brody
Adrien Brody,Elliot Brody,father,,False,True,Adrien Brody
Joel Edgerton,Marianne Edgerton,mother,,False,True,Joel Edgerton
Joel Edgerton,Michael Edgerton,father,,False,False,
Jamie Lee Curtis,Janet Leigh,mother,Jamie Lee Curtis,True,True,Jamie Lee Curtis
Jamie Lee Curtis,Tony Curtis,father,Jamie Lee Curtis,True,True,Jamie Lee Curtis
Bella Ramsey,Alex Ramsey,father,,False,False,
Jack Nicholson,June Frances Nicholson,mother,Jack Nicholson,True,False,Reese Witherspoon
Jack Nicholson,Donald Furcillo,father,Jack Nicholson,True,False,James Dean
Michelle Yeoh,Janet Yeoh,mother,,False,True,Michelle Yeoh
Michelle Yeoh,Yeoh Kian Teik,father,,False,True,Michelle Yeoh
Tom Pelphrey,Richard Pelphrey,father,,False,False,
Anthony Ramos,Mildred Ramos,mother,,False,False,Jennifer Lopez
Jane Russell,Geraldine Jacobi,mother,,False,False,Derek Jacobi
Jane Russell,Roy William Russell,father,Jane Russell,True,False,Kurt Russell
Maria Bello,Kathy Bello,mother,,False,False,
Maria Bello,Joe Bello,father,,False,False,
Kirk Fox,Joyce Fox,mother,,False,False,Megan Fox
Kirk Fox,Gardner Fox,father,,False,False,
Britt Robertson,Beverly Robertson,mother,,False,False,Kathleen Robertson
Britt Robertson,Ryan Robertson,father,,False,True,Britt Robertson
Laura Benanti,Linda Wonneberger,mother,,False,False,
Laura Benanti,Martin Vidnovic,father,Laura Benanti,True,True,Laura Benanti
Harry Melling,Joanne Melling,mother,,False,False,
Harry Melling,Paul Melling,father,,False,False,
Isabella Rossellini,Ingrid Bergman,mother,Isabella Rossellini,True,True,Isabella Rossellini
Isabella Rossellini,Roberto Rossellini,father,Isabella Rossellini,True,True,Isabella Rossellini
Gina Torres,Rebecca Torres,mother,,False,True,Gina Torres
Gina Torres,Richard Torres,father,,False,True,Gina Torres
Bella Thorne,Tamara Thorne,mother,,False,True,Bella Thorne
Julia Roberts,Betty Lou Bredemus,mother,Julia Roberts,True,True,Julia Roberts
Julia Roberts,Walter Grady Roberts,father,Julia Roberts,True,True,Julia Roberts
Bob Odenkirk,Barbara Odenkirk,mother,Bob Odenkirk,True,True,Bob Odenkirk
Bob Odenkirk,Walter Odenkirk,father,Bob Odenkirk,True,True,Bob Odenkirk
Woody Harrelson,Diane Lou Oswald,mother,,False,False,Matthew McConaughey
Woody Harrelson,Charles Harrelson,father,Woody Harrelson,True,True,Woody Harrelson
Ridley Scott,Elizabeth Jean Scott,mother,,False,False,Tom Hanks
Ridley Scott,Francis Percy Scott,father,,False,False,Sting
Amanda Schull,Susan Schull,mother,,False,False,Amy Schumer
Robert Carlyle,Elizabeth McDonald,mother,,False,False,Katharine McPhee
Robert Carlyle,Joseph Carlyle,father,,False,False,
Edward Norton,Lydia Robinson Norton,mother,,False,True,Edward Norton
Edward Norton,Edward Mower Norton Jr.,father,Edward Norton,True,True,Edward Norton
Bel Powley,Janis Jaffa,mother,,False,False,Scarlett Johansson
Bel Powley,Mark Powley,father,,False,False,Billie Piper
Bill Paxton,Mary Lou Paxton,mother,,False,False,Sara Paxton
Bill Paxton,John Lane Paxton,father,,False,True,Bill Paxton
Dakota Johnson,Melanie Griffith,mother,Dakota Johnson,True,True,Dakota Johnson
Dakota Johnson,Don Johnson,father,Dakota Johnson,True,True,Dakota Johnson
Anna Torv,Susan Torv,mother,Anna Torv,True,True,Anna Torv
Anna Torv,Hans Torv,father,,False,True,Anna Torv
Benjamin Walker,Jeannine Walker,mother,,False,False,
Benjamin Walker,Greg Walker,father,,False,False,
Hunter Schafer,Katy Schafer,mother,,False,False,
Hunter Schafer,Mac Schafer,father,,False,False,
Nicole Ari Parker,Susan Parker,mother,,False,False,Mary-Louise Parker
Nicole Ari Parker,Donald Parker,father,,False,False,
Errol Flynn,Marelle Young,mother,,False,False,Kerry Washington
Errol Flynn,Theodore Thomson Flynn,father,Errol Flynn,True,True,Errol Flynn
Annie Wersching,Sandy Wersching,mother,,False,True,Annie Wersching
Annie Wersching,Frank Wersching Jr.,father,Annie Wersching,True,True,Annie Wersching
Bill Hader,Sherri Renee Hader,mother,,False,True,Bill Hader
Bill Hader,William Thomas Hader Sr.,father,Bill Hader,True,True,Bill Hader
Kaya Scodelario,Katia Scodelario,mother,,False,True,Kaya Scodelario
Kaya Scodelario,Roger Humphrey,father,,False,False,Chris Hemsworth
Sadie Frost,Mary Davidson,mother,,False,False,Kate Middleton
Sadie Frost,David Vaughan,father,,False,False,Emilia Clarke
Sadie Stanley,Matt Stanley,father,,False,False,
Christina Hendricks,Jackie Sue Raymond,mother,,False,False,Matthew McConaughey
Christina Hendricks,Robert Hendricks,father,,False,True,Christina Hendricks
Colin Farrell,Rita Farrell,mother,,False,True,Colin Farrell
Colin Farrell,Eamon Farrell,father,,False,True,Colin Farrell
Michael B. Jordan,Donna Jordan,mother,,False,True,Michael B. Jordan
Michael B. Jordan,Michael A. Jordan,father,,False,True,Michael B. Jordan
John Travolta,Helen Travolta,mother,John Travolta,True,True,John Travolta
John Travolta,Salvatore Travolta,father,John Travolta,True,True,John Travolta
Mamoudou Athie,El Hadj Athie,father,,False,False,Akon
Adria Arjona,Leslie Torres,mother,,False,False,Ricky Martin
Adria Arjona,Ricardo Arjona,father,Adria Arjona,True,False,Ricardo Arjona Jr.
Miles Teller,Merry Flowers,mother,,False,False,Drew Barrymore
Miles Teller,Mike Teller,father,,False,True,Miles Teller
Annie Potts,Dorothy Harris Potts,mother,,False,False,Octavia Spencer
Annie Potts,Powell Grisette Potts,father,,False,False,
Leslie Bibb,Betty Blakemore Sulzbach,mother,,False,False,George W. Bush
Steve Carell,Harriet Theresa Carell,mother,Steve Carell,True,True,Steve Carell
Steve Carell,Edwin A. Carell,father,Steve Carell,True,True,Steve Carell
Katherine Heigl,Nancy Heigl,mother,Katherine Heigl,True,True,Katherine Heigl
Katherine Heigl,Paul Heigl,father,Katherine Heigl,True,True,Katherine Heigl
M. Night Shyamalan,Jayalakshmi Shyamalan,mother,M. Night Shyamalan,True,True,M. Night Shyamalan
M. Night Shyamalan,Nelliate C. Shyamalan,father,,False,True,M. Night Shyamalan
Sarah Jessica Parker,Barbara Parker,mother,,False,False,
Sarah Jessica Parker,Stephen Parker,father,,False,True,Sarah Jessica Parker
Zooey Deschanel,Mary Jo Deschanel,mother,Zooey Deschanel,True,True,Zooey Deschanel
Zooey Deschanel,Caleb Deschanel,father,Zooey Deschanel,True,True,Zooey Deschanel
David Harbour,Kenneth Harbour,father,,False,True,David Harbour
Molly C. Quinn,Dianne Quinn,mother,,False,False,Zoë Kravitz
Molly C. Quinn,Tom Quinn,father,,False,False,
Cara Delevingne,Pandora Delevingne,mother,Cara Delevingne,True,True,Cara Delevingne
Cara Delevingne,Charles Delevingne,father,Cara Delevingne,True,True,Cara Delevingne
Andrew Garfield,Lynn Garfield,mother,,False,True,Andrew Garfield
Andrew Garfield,Richard Garfield,father,,False,True,Andrew Garfield
Daniel Radcliffe,Marcia Gresham,mother,Daniel Radcliffe,True,True,Daniel Radcliffe
Daniel Radcliffe,Alan Radcliffe,father,Daniel Radcliffe,True,True,Daniel Radcliffe
Julie Bowen,Suzanne Frey Bowen,mother,,False,False,Andrea Bowen
Julie Bowen,John Alexander Luetkemeyer Jr.,father,,False,False,Julia Louis-Dreyfus
Diane Lane,Colleen Farrington,mother,Diane Lane,True,True,Diane Lane
Diane Lane,Burt Lane,father,,False,True,Diane Lane
Connie Nielsen,Laila Nielsen,mother,,False,False,
Connie Nielsen,Bent Nielsen,father,,False,True,Connie Nielsen
Abbie Cornish,Shelley Cornish,mother,,False,False,Meagan Good
Abbie Cornish,Barry Cornish,father,,False,True,Abbie Cornish
Daniel Craig,Olivia Craig,mother,,False,False,Dove Cameron
Daniel Craig,Tim Craig,father,,False,False,Emilia Clarke
Common,Dr. Mahalia Ann Hines,mother,,False,True,Common
Common,Lonnie Lynn Sr.,father,,False,True,Common
Danny McBride,Kathy Rudy,mother,,False,False,
Danny McBride,Jim McBride,father,,False,False,
Jake Johnson,Eve Johnson,mother,,False,False,Dakota Johnson
Jake Johnson,Ken Weinberger,father,,False,False,
Stanley Tucci,Joan Tucci,mother,Stanley Tucci,True,True,Stanley Tucci
Stanley Tucci,"Stanley Tucci, Sr.",father,Stanley Tucci,True,True,Stanley Tucci
Julia Stiles,Judith Newcomb Stiles,mother,Julia Stiles,True,True,Julia Stiles
Julia Stiles,John O'Hara,father,,False,False,
Paul Mescal,Dearbhla Mescal,mother,,False,True,Paul Mescal
Charlie Murphy,Lillian Murphy,mother,,False,False,Eddie Murphy
Charlie Murphy,Charles Edward Murphy,father,,False,False,Eddie Murphy
Ethan Hawke,Leslie Hawke,mother,Ethan Hawke,True,True,Ethan Hawke
Ethan Hawke,James Steven Hawke,father,,False,True,Ethan Hawke
Jordana Brewster,Maria João Brewster,mother,,False,True,Jordana Brewster
Jordana Brewster,Alden Brewster,father,,False,True,Jordana Brewster
Helen Mirren,Kathleen Alexandrina Eva Matilda Rogers,mother,,False,False,Keira Knightley
Helen Mirren,Vasily Petrovich Mironoff,father,Helen Mirren,True,True,Helen Mirren
Virginia Gardner,Sarah Gardner,mother,,False,False,
Virginia Gardner,Chuck Gardner,father,,False,False,Kris Allen
Suki Waterhouse,Elizabeth Waterhouse,mother,,False,False,
Suki Waterhouse,Norman Waterhouse,father,,False,False,
Lacey Chabert,Julie Chabert,mother,,False,True,Lacey Chabert
Lacey Chabert,Tony Chabert,father,,False,True,Lacey Chabert
Reese Witherspoon,Betty Reese,mother,Reese Witherspoon,True,True,Reese Witherspoon
Reese Witherspoon,John Draper Witherspoon,father,Reese Witherspoon,True,True,Reese Witherspoon
Gabriel Basso,Marcie Basso,mother,,False,False,
Gabriel Basso,Louis J. Basso,father,,False,False,
Olivia d'Abo,Maggie London,mother,,False,False,
Simon Pegg,Gillian Rosemary Smith,mother,,False,False,Kate Winslet
Simon Pegg,John Beckingham,father,,False,False,Rowan Atkinson
Jackie Chan,Lee-Lee Chan,mother,,False,True,Jackie Chan
Jackie Chan,Charles Chan,father,Jackie Chan,True,True,Jackie Chan
Zoey Deutch,Lea Thompson,mother,Zoey Deutch,True,True,Zoey Deutch
Zoey Deutch,Howard Deutch,father,Zoey Deutch,True,True,Zoey Deutch
Tom Welling,Bonnie Welling,mother,,False,True,Tom Welling
Tom Welling,Mark Welling,father,,False,True,Tom Welling
Madelyn Cline,Pam Cline,mother,,False,False,Shailene Woodley
Madelyn Cline,Mark Cline,father,,False,False,
Holly Hunter,Opal Marguerite Catledge,mother,,False,False,Stephen Colbert
Holly Hunter,Charles Edwin Hunter,father,,False,False,
Emmanuelle Seigner,Aline Ponelle,mother,,False,False,
Emmanuelle Seigner,Jean-Louis Seigner,father,Emmanuelle Seigner,True,True,Emmanuelle Seigner
Claudia Lee,Denise Lee,mother,,False,False,Beyoncé
Claudia Lee,Klaudiusz Lee,father,,False,False,Bruce Lee
Piper Perabo,Mary Charlotte Ulland,mother,,False,False,
Piper Perabo,William Perabo,father,Piper Perabo,True,True,Piper Perabo
Morgan Freeman,Mayme Edna Revere,mother,Morgan Freeman,True,True,Morgan Freeman
Morgan Freeman,"Morgan Porterfield Freeman, Sr.",father,Morgan Freeman Jr.,True,True,Morgan Freeman
Domhnall Gleeson,Mary Weldon,mother,,False,False,
Domhnall Gleeson,Brendan Gleeson,father,Domhnall Gleeson,True,True,Domhnall Gleeson
Dove Cameron,Bonnie Wallace,mother,Dove Cameron,True,True,Dove Cameron
Dove Cameron,Philip Alan Hosterman,father,Dove Cameron,True,True,Dove Cameron
Olivia Holt,Kim Holt,mother,,False,False,Selena Gomez
Olivia Holt,Mark Holt,father,,False,False,
Maika Monroe,Dixie Monroe,mother,,False,False,Bill Monroe
Maika Monroe,Dixie Brubaker,father,,False,False,Dinesh D'Souza
Michael Sheen,Irene Sheen,mother,,False,False,Charlie Sheen
Michael Sheen,Meyrick Sheen,father,Michael Sheen,True,True,Michael Sheen
David Fincher,Claire Mae Fincher,mother,,False,False,Reese Witherspoon
David Fincher,Howard Fincher,father,,False,False,
Michael Fassbender,Adele Fassbender,mother,,False,True,Michael Fassbender
Michael Fassbender,Josef Fassbender,father,Michael Fassbender,True,True,Michael Fassbender
Sofia Black-D'Elia,Eleanor D'Elia,mother,,False,False,Pete Davidson
Sofia Black-D'Elia,Anthony D'Elia,father,,False,False,Chris D'Elia
Eva Green,Marlène Jobert,mother,Eva Green,True,True,Eva Green
Eva Green,Walter Green,father,,False,True,Eva Green
Rooney Mara,Kathleen McNulty Rooney,mother,,False,False,Kate Mara
Rooney Mara,Chris Mara,father,,False,False,Kate Mara
Emma Thompson,Phyllida Law,mother,Emma Thompson,True,True,Emma Thompson
Emma Thompson,Eric Thompson,father,Emma Thompson,True,True,Emma Thompson
Poorna Jagannathan,Retired Vice Admiral V.R. Jagannathan,father,,False,False,R. Madhavan
Melissa Benoist,Julie Benoist,mother,,False,True,Melissa Benoist
Melissa Benoist,Jim Benoist,father,,False,True,Melissa Benoist
Frances McDormand,Noreen E. Nickelson McDormand,mother,Frances McDormand,True,True,Frances McDormand
Frances McDormand,Vernon McDormand,father,Frances McDormand,True,True,Frances McDormand
Krysten Ritter,Kathy Ritter,mother,,False,False,Jason Ritter
Krysten Ritter,Gary Ritter,father,,False,False,Jason Ritter
Fisher Stevens,Sally Fisher,mother,,False,False,Carrie Fisher
Viggo Mortensen,Grace Gamble Atkinson,mother,,False,False,Jane Fonda
Viggo Mortensen,Viggo Peter Mortensen Sr.,father,Viggo Mortensen Jr.,True,True,Viggo Mortensen
Liv Tyler,Bebe Buell,mother,Liv Tyler,True,True,Liv Tyler
Liv Tyler,Steven Tyler,father,Liv Tyler,True,True,Liv Tyler
Jack Black,Judith Love Cohen,mother,Jack Black,True,True,Jack Black
Jack Black,Thomas William Black,father,,False,True,Jack Black
Taylor Kitsch,Susan Green,mother,,False,False,Billie Eilish
Taylor Kitsch,Drew Kitsch,father,,False,False,
Michael Cera,Linda Cera,mother,,False,True,Michael Cera
Michael Cera,Luigi Cera,father,,False,False,
James Gunn,Leota Gunn,mother,,False,False,
James Gunn,James F. Gunn,father,James Gunn,True,False,Sean Gunn
Emily Browning,Shelley Browning,mother,,False,False,Madelaine Petsch
Emily Browning,Andrew Browning,father,,False,False,
Neve Campbell,Marnie Neve Campbell,mother,,False,True,Neve Campbell
Neve Campbell,Gerry Campbell,father,,False,False,Naomi Campbell
John Krasinski,Mary Clare Krasinski,mother,John Krasinski,True,True,John Krasinski
John Krasinski,Ronald Krasinski,father,,False,True,John Krasinski
Paul Walker,Cheryl Walker,mother,Paul Walker,True,True,Paul Walker
Paul Walker,Paul William Walker III,father,Paul Walker IV,True,True,Paul Walker
Jacob Tremblay,Christina Candia Tremblay,mother,,False,True,Jacob Tremblay
Jacob Tremblay,Jason Tremblay,father,Jacob Tremblay,True,True,Jacob Tremblay
Abby Ryder Fortson,Christie Lynn Smith,mother,Abby Ryder Fortson,True,False,
Abby Ryder Fortson,John Fortson,father,Abby Ryder Fortson,True,False,
Natasia Demetriou,Ellie Demetriou,father,,False,False,
Eric Stoltz,Evelyn B. Stoltz,mother,,False,False,
Eric Stoltz,Jack Stoltz,father,,False,False,
John Cena,Carol Cena,mother,John Cena,True,True,John Cena
John Cena,John Cena Sr.,father,John Cena Jr.,True,True,John Cena
Michelle Williams,Carla Williams,mother,,False,False,Pharrell Williams
Michelle Williams,Larry Richard Williams,father,Michelle Williams,True,False,Serena Williams
Geena Davis,Lucille Davis,mother,,False,True,Geena Davis
Geena Davis,William F. Davis,father,,False,True,Geena Davis
Paul Rudd,Gloria Rudd,mother,Paul Rudd,True,True,Paul Rudd
Paul Rudd,Michael Rudd,father,,False,True,Paul Rudd
James Mangold,Sylvia Plimack Mangold,mother,James Mangold,True,True,James Mangold
James Mangold,Robert Mangold,father,James Mangold,True,True,James Mangold
Sadie Sink,Lori Sink,mother,,False,False,
Sadie Sink,Casey Adam Sink,father,,False,False,
Annabelle Wallis,Richard Hardman,father,,False,False,
Paula Patton,Joyce Patton,mother,,False,True,Paula Patton
Paula Patton,Charles Patton,father,,False,False,Big Boi
Judy Holliday,Helen Tuvim,mother,Judy Holliday,True,False,Judy Garland
Judy Holliday,Abe Tuvim,father,Judy Holliday,True,True,Judy Holliday
Martin Freeman,Philomena Norris,mother,,False,False,
Martin Freeman,Geoffrey Freeman,father,,False,False,Morgan Freeman
Milla Jovovich,Galina Jovovich,mother,Milla Jovovich,True,True,Milla Jovovich
Milla Jovovich,Bogdan Jovovich,father,Milla Jovovich,True,True,Milla Jovovich
Peyton List,Suzanne List,mother,,False,True,Peyton List
Peyton List,John List,father,,False,False,
James Norton,Lavinia Norton,mother,,False,False,
James Norton,Hugh B. Norton,father,,False,False,Edward Norton
Noomi Rapace,Nina Norén,mother,,False,True,Noomi Rapace
Noomi Rapace,Rogelio Durán,father,,False,False,Benicio del Toro
Tobias Menzies,Gillian Menzies,mother,,False,False,Rose Leslie
Tobias Menzies,Peter Menzies Jr.,father,,False,False,
Edward Furlong,Eleanor Torres,mother,,False,False,Gina Torres
Edward Furlong,Eleanor Torres,father,,False,False,
Brooke Langton,Jackson Langton,mother,,False,False,
Brooke Langton,Jackson Langton,father,,False,False,
Ellen Barkin,Evelyn Barkin,mother,,False,True,Ellen Barkin
Ellen Barkin,Sol Barkin,father,,False,True,Ellen Barkin
Mae Whitman,Pat Musick,mother,Mae Whitman,True,True,Mae Whitman
Mae Whitman,Pat Whitman,father,,False,False,
John Francis Daley,R.F. Daley,mother,,False,False,
John Francis Daley,R.F. Daley,father,,False,True,John Francis Daley
Tim Robbins,Mary Robbins,mother,,False,True,Tim Robbins
Tim Robbins,Gil Robbins,father,Tim Robbins,True,True,Tim Robbins
Ashly Burch,David Burch,father,,False,False,
Zac Efron,Starla Baskett,mother,Zac Efron,True,True,Zac Efron
Zac Efron,David Efron,father,Zac Efron,True,True,Zac Efron
Will Patton,Billie Patton,mother,,False,False,Trace Adkins
Will Patton,Bill Patton,father,,False,True,Will Patton
Sam Levinson,Diana Rhodes,mother,,False,False,Kelly Clarkson
Sam Levinson,Barry Levinson,father,Sam Levinson,True,True,Sam Levinson
Parker Posey,Lynda Patton,mother,,False,False,Matthew McConaughey
Parker Posey,Chris Posey,father,,False,True,Parker Posey
Emily Osment,Theresa Osment,mother,Emily Osment,True,True,Emily Osment
Emily Osment,Michael Eugene Osment,father,Emily Osment,True,False,Haley Joel Osment
Boyd Holbrook,Ellen Holbrook,mother,,False,False,
Boyd Holbrook,Don Holbrook,father,,False,False,
Jennifer Morrison,Judy Morrison,mother,,False,False,Matthew Morrison
Jennifer Morrison,David L. Morrison,father,,False,False,Matthew Morrison
Iain Glen,Hamish Glen,father,,False,False,
Naomi Watts,Myfanwy Edwards Roberts,mother,,False,False,Rhys Ifans
Naomi Watts,Peter Watts,father,,False,True,Naomi Watts
Liam Hemsworth,Leonie Hemsworth,mother,,False,False,Chris Hemsworth
Liam Hemsworth,Craig Hemsworth,father,,False,False,Chris Hemsworth
Marlon Brando,Dorothy Julia Pennebaker Brando,mother,Marlon Brando,True,True,Marlon Brando
Marlon Brando,Marlon Brando Sr.,father,Marlon Brando Jr.,True,True,Marlon Brando
Emma Mackey,Rachel Mackey,mother,,False,False,
Emma Mackey,Philippe Mackey,father,,False,False,
Nicola Peltz Beckham,Claudia Heffner Peltz,mother,,False,True,Nicola Peltz Beckham
Nicola Peltz Beckham,Nelson Peltz,father,,False,True,Nicola Peltz Beckham
Ariana Richards,Darielle Garrison,mother,,False,False,
Ariana Richards,Gary Richards,father,,False,False,
Cameron Diaz,Billie Diaz,mother,,False,True,Cameron Diaz
Cameron Diaz,Emilio Diaz,father,Cameron Diaz,True,True,Cameron Diaz
Ruby Rose,Katia Langenheim,mother,Ruby Rose,True,True,Ruby Rose
Jennifer Coolidge,Pauline Coolidge,mother,,False,True,Jennifer Coolidge
Jennifer Coolidge,Paul Coolidge,father,,False,True,Jennifer Coolidge
Daisy Edgar-Jones,Wendy Edgar-Jones,mother,,False,False,Finn Jones
Daisy Edgar-Jones,Philip Edgar-Jones,father,,False,False,
Sarah Paulson,Catharine Gordon Dolcater,mother,,False,False,Robert Redford
Sarah Paulson,Douglas Lyle Paulson II,father,,False,True,Sarah Paulson
Stana Katic,Rada Katic,mother,,False,True,Stana Katic
Stana Katic,Peter Katic,father,Stana Katic,True,True,Stana Katic
Joel Kinnaman,Bitte Kinnaman,mother,Joel Kinnaman,True,True,Joel Kinnaman
Joel Kinnaman,Steve Kinnaman,father,,False,True,Joel Kinnaman
Erin Murphy,Stephanie Murphy,mother,,False,False,
Erin Murphy,Dan Murphy,father,,False,False,Brittany Murphy
John Rhys-Davies,Phyllis Jones,mother,,False,False,Rashida Jones
John Rhys-Davies,Rhys Davies,father,,False,False,
River Phoenix,Arlyn Phoenix,mother,River Phoenix,True,False,Joaquin Phoenix
River Phoenix,John Lee Bottom,father,,False,False,Joaquin Phoenix
Courtney Eaton,Stephenie Eaton,mother,,False,False,
Courtney Eaton,Stephen Eaton,father,,False,False,
Jeri Ryan,Sharon Zimmerman,mother,,False,False,
Selena Gomez,Mandy Teefey,mother,Selena Gomez,True,True,Selena Gomez
Selena Gomez,Ricardo Joel Gomez,father,Selena Gomez,True,True,Selena Gomez
Cary Elwes,Tessa Kennedy,mother,,False,False,Elliot Page
Cary Elwes,Dominick Elwes,father,Cary Elwes,True,True,Cary Elwes
Will Ferrell,Betty Kay Overman,mother,,False,False,Kathy Bates
Will Ferrell,Roy Lee Ferrell Jr.,father,Will Ferrell,True,True,Will Ferrell
Winona Ryder,Cynthia Palmer,mother,,False,False,Tori Amos
Winona Ryder,Michael Horowitz,father,Winona Ryder,True,True,Winona Ryder
Armie Hammer,Dru Ann Mobley,mother,,False,True,Armie Hammer
Armie Hammer,Michael Armand Hammer,father,Armie Hammer,True,True,Armie Hammer
Renee Olstead,Rebecca Lynn Jeffries,mother,,False,False,
Renee Olstead,Christopher Eric Olstead,father,,False,True,Renee Olstead
Ian McShane,Irene McShane,mother,,False,False,
Ian McShane,Harry McShane,father,Ian McShane,True,True,Ian McShane
Wendie Malick,Gigi Malick,mother,,False,False,Bella Hadid
Wendie Malick,Ken Malick,father,,False,False,
Nina Dobrev,Michaela Dobreva,mother,,False,True,Nina Dobrev
Nina Dobrev,Konstantin Dobrev,father,,False,True,Nina Dobrev
Elisabeth Shue,Anne Harms,mother,,False,False,
Elisabeth Shue,James Shue,father,Elisabeth Shue,True,False,Andrew Shue
Téa Leoni,Emily Patterson,mother,,False,False,
Téa Leoni,Anthony Pantaleoni,father,Téa Leoni,True,False,Tea Leoni
Sebastian Stan,Georgeta Orlovschi,mother,,False,True,Sebastian Stan
Sebastian Stan,Georgeta Orlovschi,father,,False,True,Sebastian Stan
James Franco,Betsy Lou Franco,mother,James Franco,True,True,James Franco
James Franco,Douglas Eugene Franco,father,James Franco,True,True,James Franco
JoAnna Garcia Swisher,Lorraine García,mother,,False,False,Camila Cabello
JoAnna Garcia Swisher,Jay Garcia,father,,False,False,
Jennifer Nettles,Carla Temple,mother,,False,False,
Jennifer Nettles,Carlo Nettles,father,,False,False,
Rosario Dawson,Isabel Celeste,mother,,False,True,Rosario Dawson
Rosario Dawson,Greg Dawson,father,,False,True,Rosario Dawson
Haley Lu Richardson,Valerie Richardson,mother,,False,False,
Haley Lu Richardson,Forrest L. Richardson,father,,False,False,
Richa Moorjani,Sudhir Moorjani,father,,False,False,Priyanka Chopra
Jack O'Connell,Alison O'Connell,mother,,False,False,
Jack O'Connell,John O'Connell,father,,False,False,
Jennifer Jason Leigh,Barbara Turner,mother,Jennifer Jason Leigh,True,True,Jennifer Jason Leigh
Jennifer Jason Leigh,Vic Morrow,father,Jennifer Jason Leigh,True,True,Jennifer Jason Leigh
Chloe Bennet,Stephanie Crane,mother,,False,False,
Chloe Bennet,Bennet Wang,father,,False,False,
Kathryn Hahn,Karen Hahn,mother,,False,False,
Kathryn Hahn,Bill Hahn,father,,False,False,
Mila Kunis,Elvira Kunis,mother,Mila Kunis,True,True,Mila Kunis
Mila Kunis,Mark Kunis,father,Mila Kunis,True,True,Mila Kunis
Sean Young,Lee Guthrie,mother,,False,False,Jodie Foster
Sean Young,Donald Young Jr.,father,,False,False,Serena Williams
Jessica Biel,Kimberly Biel,mother,,False,False,Justin Timberlake
Jessica Biel,Jonathan Biel,father,Jessica Biel,True,True,Jessica Biel
David Corenswet,Caroline Packard,mother,,False,False,Ellie Kemper
David Corenswet,John Corenswet,father,,False,False,
Vera Farmiga,Lubomyra Farmiga,mother,Vera Farmiga,True,True,Vera Farmiga
Vera Farmiga,Mykhailo Farmiga,father,Vera Farmiga,True,True,Vera Farmiga
Lucy Boynton,Adriaane Pielou,mother,,False,False,
Lucy Boynton,Graham Boynton,father,,False,False,Becky Boynton
Wes Bentley,Cherie Bentley,mother,,False,False,
Wes Bentley,David Bentley,father,,False,False,
Justin Theroux,Phyllis Grissim-Theroux,mother,Justin Theroux,True,False,Jennifer Aniston
Justin Theroux,Eugene Theroux,father,Justin Theroux,True,True,Justin Theroux
Grant Gustin,Tina Haney,mother,,False,False,Dustin Lynch
Grant Gustin,Thomas Gustin,father,Grant Gustin,True,True,Grant Gustin
Elizabeth Hurley,Angela Mary Hurley,mother,,False,False,Liz Hurley
Elizabeth Hurley,Roy Leonard Hurley,father,,False,True,Elizabeth Hurley
Danielle Panabaker,Donna Panabaker,mother,,False,True,Danielle Panabaker
Danielle Panabaker,Harold Panabaker,father,,False,True,Danielle Panabaker
Jennifer Lopez,Guadalupe Rodriguez,mother,Jennifer Lopez,True,True,Jennifer Lopez
Jennifer Lopez,David Lopez,father,,False,True,Jennifer Lopez
Emmanuelle Chriqui,Liliane Chriqui,mother,,False,True,Emmanuelle Chriqui
Emmanuelle Chriqui,Albert Chriqui,father,,False,True,Emmanuelle Chriqui
Meredith Baxter,Whitney Blake,mother,Meredith Baxter,True,True,Meredith Baxter
Meredith Baxter,Tom Baxter,father,,False,False,
Addison Timlin,R.J. Timlin,mother,,False,False,Mike Vogel
Alessandro Nivola,Patricia Nivola,mother,,False,True,Alessandro Nivola
Alessandro Nivola,Pietro Nivola,father,,False,True,Alessandro Nivola
Sherilyn Fenn,Arlene Quatro,mother,Sherilyn Fenn,True,False,Suzi Quatro
Sherilyn Fenn,Arnett Fenn,father,,False,False,
Paget Brewster,Hawthorne Brewster,mother,,False,False,Jordana Brewster
Paget Brewster,Galen Brewster,father,,False,False,
Sofía Vergara,Margarita Vergara Dávila,mother,Sofía Vergara,True,True,Sofía Vergara
Sofía Vergara,Julio Enrique Vergara Robayo,father,Sofía Vergara,True,False,Sofia Vergara
Sam Rockwell,Penny Hess,mother,,False,False,
Sam Rockwell,Pete Rockwell,father,Sam Rockwell,True,True,Sam Rockwell
Sarah Hyland,Melissa Canaday,mother,Sarah Hyland,True,True,Sarah Hyland
Sarah Hyland,Edward James Hyland,father,Sarah Hyland,True,True,Sarah Hyland
Suzy Amis,Joanna Amis,mother,,False,False,Kate Beckinsale
Joshua Jackson,Fiona Jackson,mother,,False,False,Samuel L. Jackson
Joshua Jackson,John Carter Jackson,father,,False,False,Samuel L. Jackson
Seann William Scott,Patricia Anne Scott,mother,,False,False,Nicole Kidman
Seann William Scott,William Frank Scott,father,,False,False,
Gillian Anderson,Rosemary Anderson,mother,,False,True,Gillian Anderson
